"","ko_id","X","P14_x100_t0","P16_x100_t0","P03_x100_t0","P08_x100_t0","P10_x50_t0","P13_x50_t0","P09_x50_t0","P14_x100_t168","P16_x100_t168","P03_x100_t168","P08_x100_t168","P10_x50_t168","P13_x50_t168","P04_x50_t168","P09_x50_t168","P14_x100_t24","P16_x100_t24","P03_x100_t24","P08_x100_t24","P10_x50_t24","P13_x50_t24","P04_x50_t24","P09_x50_t24","P14_x100_t3","P16_x100_t3","P03_x100_t3","P08_x100_t3","P10_x50_t3","P04_x50_t3","P09_x50_t3","P14_x100_t48","P16_x100_t48","P03_x100_t48","P08_x100_t48","P10_x50_t48","P13_x50_t48","P04_x50_t48","P09_x50_t48","P14_x100_t72","P16_x100_t72","P03_x100_t72","P08_x100_t72","P10_x50_t72","P13_x50_t72","P04_x50_t72","P09_x50_t72","P13_x50_t3","Level1","Level2","Level3","Level4"
"11","K00014",11,0,6,0,1,4,5,9,30,36,72,99,69,120,52,33,231,831,476,271,370,84,444,249,143,262,155,0,262,231,343,139,228,196,174,217,187,121,223,58,138,208,155,96,115,117,31,198," 09100 Metabolism","  09105 Amino acid metabolism","   00400 Phenylalanine, tyrosine and tryptophan biosynthesis","    K00014  aroE; shikimate dehydrogenase"
"12","K00015",12,15,1,5,3,9,16,20,137,92,211,252,63,167,96,113,572,579,775,908,583,72,518,417,148,84,169,0,253,234,290,294,418,384,380,302,430,650,373,167,213,562,400,160,205,401,84,208," 09100 Metabolism","  09101 Carbohydrate metabolism","   00630 Glyoxylate and dicarboxylate metabolism","    K00015  gyaR, GOR1; glyoxylate reductase"
"13","K00016",13,2,7,3,8,2,4,0,49,76,124,90,42,98,30,41,122,1607,1017,465,342,105,485,157,12,76,70,0,113,91,84,151,109,138,176,107,88,147,115,39,67,115,57,68,43,109,24,53," 09100 Metabolism","  09101 Carbohydrate metabolism","   00010 Glycolysis / Gluconeogenesis","    K00016  LDH, ldh; L-lactate dehydrogenase"
"14","K00018",14,0,0,0,0,0,0,0,10,12,19,61,8,21,16,9,30,16,32,41,34,1,18,26,10,7,24,0,30,17,6,24,31,35,28,72,21,43,33,36,18,60,31,38,13,12,1,14," 09100 Metabolism","  09101 Carbohydrate metabolism","   00630 Glyoxylate and dicarboxylate metabolism","    K00018  hprA; glycerate dehydrogenase"
"15","K00019",15,79,30,63,62,47,86,77,215,316,472,611,329,480,182,700,1138,6474,2483,1891,1428,432,1871,908,599,334,413,0,674,763,1006,664,994,1084,1157,697,742,1318,1220,389,666,1869,797,345,573,681,238,518," 09100 Metabolism","  09101 Carbohydrate metabolism","   00650 Butanoate metabolism","    K00019  BDH1, bdhA; 3-hydroxybutyrate dehydrogenase"
"16","K00020",16,8,9,7,10,4,12,16,29,110,173,193,83,153,86,130,258,1125,584,427,377,68,556,182,164,153,123,0,265,251,273,204,308,272,266,168,231,378,337,97,267,402,263,97,182,178,103,245," 09100 Metabolism","  09105 Amino acid metabolism","   00280 Valine, leucine and isoleucine degradation","    K00020  HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase"
"17","K00021",17,25,27,20,40,25,66,74,62,89,275,326,130,220,143,219,348,86,283,392,215,84,206,261,152,66,56,0,87,244,173,294,278,344,247,289,257,372,360,276,261,527,348,231,156,443,107,94," 09100 Metabolism","  09109 Metabolism of terpenoids and polyketides","   00900 Terpenoid backbone biosynthesis","    K00021  HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH)"
"18","K00023",18,64,45,72,51,55,91,98,594,979,1550,1698,1362,1532,699,1443,2532,1085,2138,2449,3788,502,1786,978,470,354,306,0,646,617,755,1789,3503,2769,2666,2511,2745,3393,3027,1404,2179,5194,2763,2093,1688,2241,755,434," 09100 Metabolism","  09101 Carbohydrate metabolism","   00630 Glyoxylate and dicarboxylate metabolism","    K00023  phbB; acetoacetyl-CoA reductase"
"19","K00024",19,110,113,144,134,123,287,256,1068,1340,3368,2692,1731,2493,999,2582,3488,3297,3716,4244,4188,1584,3118,2742,1262,852,1057,0,1352,1618,2390,3283,4546,4037,3725,3733,3751,4715,4570,2353,2924,7739,3627,2800,3241,3038,1190,1571," 09100 Metabolism","  09101 Carbohydrate metabolism","   00020 Citrate cycle (TCA cycle)","    K00024  mdh; malate dehydrogenase"
"20","K00027",20,74,25,39,45,31,72,38,118,248,552,464,312,461,163,577,967,11882,3338,1839,1478,408,2658,1309,497,1365,911,0,1479,1717,1451,701,937,961,1169,768,793,950,1289,397,527,1454,755,478,466,827,209,960," 09100 Metabolism","  09101 Carbohydrate metabolism","   00620 Pyruvate metabolism","    K00027  ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)"
"21","K00029",21,53,36,53,62,87,103,56,496,485,1180,1346,820,977,397,1013,1288,1160,1014,1568,1617,606,893,824,412,404,337,0,507,647,784,1113,1602,1461,1543,1191,1178,1512,1301,1021,1308,2598,1486,1127,1015,1569,407,403," 09100 Metabolism","  09101 Carbohydrate metabolism","   00620 Pyruvate metabolism","    K00029  maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)"
"22","K00030",22,38,23,27,26,25,22,28,292,337,542,513,315,422,278,543,627,240,556,737,864,250,377,323,176,92,76,0,184,181,153,534,566,627,675,701,774,865,954,632,668,1246,786,452,533,649,248,138," 09100 Metabolism","  09101 Carbohydrate metabolism","   00020 Citrate cycle (TCA cycle)","    K00030  IDH3; isocitrate dehydrogenase (NAD+)"
"23","K00031",23,203,173,182,169,145,335,411,1614,1907,4027,3809,2747,3664,1431,3429,6363,21352,8842,9394,8644,2358,6961,5904,2522,3331,2939,0,6966,4996,6299,4795,6299,6460,5843,5338,5800,7104,6880,3194,4731,10538,6249,3789,4181,4517,1802,4391," 09100 Metabolism","  09101 Carbohydrate metabolism","   00020 Citrate cycle (TCA cycle)","    K00031  IDH1, IDH2, icd; isocitrate dehydrogenase"
"24","K00032",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,5,2,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,8,6,0,0,0,0,2," 09100 Metabolism","  09101 Carbohydrate metabolism","   00030 Pentose phosphate pathway","    K00032  E1.1.1.43; phosphogluconate 2-dehydrogenase"
"25","K00033",25,164,129,184,159,159,351,281,1010,1134,2029,2320,2012,2027,798,2137,2881,7199,3440,3309,3540,1044,2526,2638,1058,1623,1385,0,1608,2300,3141,2261,2562,2491,2781,2404,2641,3195,3356,1732,1815,3904,2604,1891,1543,1980,1015,1458," 09100 Metabolism","  09101 Carbohydrate metabolism","   00030 Pentose phosphate pathway","    K00033  PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase"
"26","K00034",26,14,7,2,14,6,21,4,89,110,285,234,201,240,135,108,110,17,116,118,118,62,93,57,122,45,123,0,154,181,211,128,159,132,118,118,104,225,108,123,106,254,156,128,107,142,35,75," 09100 Metabolism","  09101 Carbohydrate metabolism","   00030 Pentose phosphate pathway","    K00034  gdh; glucose 1-dehydrogenase"
"27","K00035",27,0,0,0,0,1,1,0,12,12,10,8,13,26,5,2,6,6,4,5,8,9,4,11,4,0,3,0,0,12,16,6,14,28,8,37,8,28,28,20,7,45,2,36,7,10,8,10," 09100 Metabolism","  09101 Carbohydrate metabolism","   00052 Galactose metabolism","    K00035  gal; D-galactose 1-dehydrogenase"
"28","K00036",28,339,333,306,453,373,866,643,2779,2485,5734,5621,3384,4762,2113,5632,4308,4939,4799,4376,5034,1914,3158,4131,1705,1813,1852,0,2103,3484,4675,3896,4073,4549,4093,3822,4242,5520,5575,3910,3701,8817,5205,3303,3280,4357,1722,2038," 09100 Metabolism","  09101 Carbohydrate metabolism","   00030 Pentose phosphate pathway","    K00036  G6PD, zwf; glucose-6-phosphate 1-dehydrogenase"
"29","K00038",29,6,10,14,18,9,7,2,34,57,114,214,92,142,49,172,117,161,264,230,237,48,184,142,91,46,69,0,79,95,153,224,412,406,288,270,283,188,192,110,134,357,210,127,118,192,65,84," 09100 Metabolism","  09103 Lipid metabolism","   00140 Steroid hormone biosynthesis","    K00038  E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase"
"30","K00039",30,0,0,0,0,0,0,2,0,8,11,0,3,22,2,34,12,18,35,46,24,4,27,28,4,0,13,0,0,18,6,13,24,12,12,21,12,28,18,0,8,34,1,4,5,1,8,8," 09100 Metabolism","  09101 Carbohydrate metabolism","   00040 Pentose and glucuronate interconversions","    K00039  rbtD; ribitol 2-dehydrogenase"
"31","K00040",31,2,12,5,9,6,6,0,16,26,52,56,42,44,19,92,66,16,111,96,92,40,57,69,128,150,142,0,132,221,251,32,43,55,73,37,22,91,61,13,35,158,46,11,41,12,34,147," 09100 Metabolism","  09101 Carbohydrate metabolism","   00040 Pentose and glucuronate interconversions","    K00040  uxuB; fructuronate reductase"
"32","K00041",32,0,0,1,0,1,0,0,6,19,19,44,4,43,43,25,43,786,342,180,201,66,437,65,29,109,157,0,170,241,89,80,122,142,124,87,74,140,119,19,80,357,143,61,74,120,44,162," 09100 Metabolism","  09101 Carbohydrate metabolism","   00040 Pentose and glucuronate interconversions","    K00041  uxaB; tagaturonate reductase"
"33","K00042",33,28,21,14,27,22,30,29,321,115,371,336,195,272,169,340,585,708,543,475,606,31,562,321,243,136,205,0,221,550,340,428,497,432,469,458,352,655,536,254,298,763,336,362,298,371,133,246," 09100 Metabolism","  09101 Carbohydrate metabolism","   00630 Glyoxylate and dicarboxylate metabolism","    K00042  garR, glxR; 2-hydroxy-3-oxopropionate reductase"
"34","K00043",34,0,1,0,2,0,0,2,10,36,48,91,19,76,16,56,80,112,53,207,77,32,50,54,22,21,19,0,40,7,45,65,120,93,147,111,57,99,80,49,90,98,117,84,46,78,41,14," 09100 Metabolism","  09101 Carbohydrate metabolism","   00650 Butanoate metabolism","    K00043  gbd; 4-hydroxybutyrate dehydrogenase"
"35","K00045",35,10,3,10,24,8,22,39,123,115,261,238,160,177,69,190,470,176,430,558,482,75,287,244,129,46,43,0,69,114,165,367,424,406,432,337,320,505,425,256,321,693,480,348,260,278,100,97," 09100 Metabolism","  09101 Carbohydrate metabolism","   00051 Fructose and mannose metabolism","    K00045  E1.1.1.67, mtlK; mannitol 2-dehydrogenase"
"36","K00046",36,5,5,2,2,1,10,2,10,15,87,61,72,41,7,19,92,150,126,182,98,25,94,108,64,119,180,0,234,276,315,96,118,126,81,52,113,124,120,33,78,179,118,100,58,36,28,187," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00046  idnO; gluconate 5-dehydrogenase"
"37","K00052",37,63,63,44,37,25,108,86,343,322,639,682,571,527,266,751,2180,20773,10808,5094,4326,974,6454,3763,1137,1729,1418,0,6281,3237,2032,1250,1907,1623,2751,1403,1673,2659,1775,586,880,2310,1212,762,614,1031,389,1590," 09100 Metabolism","  09101 Carbohydrate metabolism","   00660 C5-Branched dibasic acid metabolism","    K00052  leuB, IMDH; 3-isopropylmalate dehydrogenase"
"38","K00053",38,228,157,130,191,191,403,294,1182,1291,2562,2691,1910,2798,1046,2926,7913,39982,20984,13241,12710,3724,14289,7765,4812,4567,4278,0,13242,9686,8076,4219,6656,5891,7708,5428,5864,7011,7295,2559,3697,8980,4717,3665,2908,3936,1461,5611," 09100 Metabolism","  09105 Amino acid metabolism","   00290 Valine, leucine and isoleucine biosynthesis","    K00053  ilvC; ketol-acid reductoisomerase"
"39","K00054",39,8,2,0,4,0,6,6,62,48,125,141,16,91,62,171,111,81,56,59,49,46,23,34,23,35,6,0,13,6,26,47,89,38,68,68,99,78,108,103,89,173,67,52,116,98,26,28," 09100 Metabolism","  09109 Metabolism of terpenoids and polyketides","   00900 Terpenoid backbone biosynthesis","    K00054  mvaA; hydroxymethylglutaryl-CoA reductase"
"40","K00055",40,0,8,3,2,8,16,5,24,6,30,48,17,29,2,49,32,14,40,71,29,28,46,49,41,33,26,0,33,33,73,29,58,24,43,47,27,61,35,31,0,66,33,28,26,24,7,15," 09100 Metabolism","  09105 Amino acid metabolism","   00350 Tyrosine metabolism","    K00055  E1.1.1.90; aryl-alcohol dehydrogenase"
"41","K00057",41,41,21,27,34,33,66,36,170,223,218,295,115,311,78,352,715,3265,1725,1101,1199,202,1575,895,602,877,614,0,807,907,1352,579,676,625,692,397,546,872,780,341,386,781,514,272,292,251,211,786," 09100 Metabolism","  09103 Lipid metabolism","   00564 Glycerophospholipid metabolism","    K00057  gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)"
"42","K00058",42,150,91,103,113,98,179,147,594,652,1330,1263,1145,1191,537,1256,3422,20848,9069,6289,5624,1594,6029,3780,1992,2308,1970,0,3456,3566,3964,2605,3965,2900,3428,2553,2750,3860,3396,1268,1666,4038,2267,1416,1392,2108,739,2361," 09100 Metabolism","  09102 Energy metabolism","   00680 Methane metabolism","    K00058  serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase"
"43","K00059",43,671,541,562,819,638,1384,1243,1701,1792,4197,3878,2736,3035,1518,4272,6182,28107,16409,10824,9501,2504,13864,7923,3602,4042,4890,0,5456,11635,6671,5189,6010,6127,6596,4840,5106,8400,7673,3353,3953,10101,5419,3338,3296,5661,2004,4089," 09100 Metabolism","  09103 Lipid metabolism","   00061 Fatty acid biosynthesis","    K00059  fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase"
"44","K00060",44,5,2,16,6,0,9,7,65,111,199,154,172,167,84,161,248,201,199,259,232,83,142,192,89,49,68,0,77,88,165,242,304,182,228,210,164,403,217,212,209,464,216,228,141,279,56,83," 09100 Metabolism","  09105 Amino acid metabolism","   00260 Glycine, serine and threonine metabolism","    K00060  tdh; threonine 3-dehydrogenase"
"45","K00064",45,20,4,6,21,10,12,17,37,44,147,190,197,161,61,213,154,275,249,260,348,85,85,247,143,108,101,0,145,123,194,127,277,221,204,179,254,229,215,116,159,446,277,94,140,210,105,119," 09100 Metabolism","  09101 Carbohydrate metabolism","   00051 Fructose and mannose metabolism","    K00064  E1.1.1.122; D-threo-aldose 1-dehydrogenase"
"46","K00065",46,3,6,3,4,10,17,1,38,28,97,19,20,55,22,64,76,1017,406,238,196,15,371,142,24,116,172,0,164,213,100,42,170,112,190,121,87,252,90,35,71,207,84,85,65,93,16,204," 09100 Metabolism","  09101 Carbohydrate metabolism","   00040 Pentose and glucuronate interconversions","    K00065  kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase"
"47","K00066",47,7,2,6,0,1,5,10,30,136,326,195,425,216,109,246,570,229,654,648,698,472,355,561,72,29,29,0,76,41,69,515,709,603,335,554,627,792,327,194,327,908,357,223,265,332,124,22," 09100 Metabolism","  09101 Carbohydrate metabolism","   00051 Fructose and mannose metabolism","    K00066  algD; GDP-mannose 6-dehydrogenase"
"48","K00067",48,10,10,10,9,9,34,23,91,58,131,144,103,118,73,136,232,202,338,308,482,165,268,302,100,77,103,0,183,156,272,193,225,246,227,374,283,334,334,64,151,409,213,207,141,116,45,166," 09100 Metabolism","  09107 Glycan biosynthesis and metabolism","   00541 O-Antigen nucleotide sugar biosynthesis","    K00067  rfbD, rmlD; dTDP-4-dehydrorhamnose reductase"
"49","K00074",49,46,65,50,56,27,116,84,416,557,962,980,834,854,353,978,1965,3267,2637,2563,2424,887,1772,2069,854,585,604,0,1198,1009,1332,1442,2073,1860,1813,1446,1436,2327,1899,916,1223,2848,1587,988,969,1479,622,877," 09100 Metabolism","  09101 Carbohydrate metabolism","   00650 Butanoate metabolism","    K00074  paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase"
"50","K00075",50,23,28,27,31,38,43,16,121,143,377,269,314,203,113,235,557,1031,840,708,765,192,606,537,342,391,352,0,479,591,777,472,571,534,611,458,374,726,752,328,391,848,443,264,320,340,144,337," 09100 Metabolism","  09101 Carbohydrate metabolism","   00520 Amino sugar and nucleotide sugar metabolism","    K00075  murB; UDP-N-acetylmuramate dehydrogenase"
"51","K00076",51,0,0,0,10,4,0,0,8,8,44,16,24,25,4,8,10,15,17,57,28,18,22,4,2,0,1,0,4,11,17,29,52,39,47,45,56,23,45,14,9,64,55,34,13,17,12,7," 09100 Metabolism","  09103 Lipid metabolism","   00121 Secondary bile acid biosynthesis","    K00076  hdhA; 7-alpha-hydroxysteroid dehydrogenase"
"52","K00077",52,43,21,15,27,28,62,33,214,423,547,522,368,447,252,523,821,587,835,1122,898,307,709,658,661,239,218,0,604,437,481,591,802,663,826,443,499,896,858,441,581,1158,743,484,448,499,324,288," 09100 Metabolism","  09108 Metabolism of cofactors and vitamins","   00770 Pantothenate and CoA biosynthesis","    K00077  panE, apbA; 2-dehydropantoate 2-reductase"
"53","K00078",53,7,5,9,20,2,8,10,17,39,56,71,130,45,14,34,106,78,163,200,139,52,81,109,41,65,31,0,68,78,134,67,80,98,100,114,145,126,148,35,66,163,59,87,48,57,10,47," 09100 Metabolism","  09101 Carbohydrate metabolism","   00040 Pentose and glucuronate interconversions","    K00078  DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)"
"54","K00088",54,100,113,101,115,110,231,197,1145,960,1766,1861,1486,1889,709,1885,3574,12671,6105,4789,4759,1300,4756,3289,2526,3063,3052,0,4055,4575,6384,2514,3186,3072,3377,2708,2644,3504,3466,1828,2203,4962,2957,2148,1930,2381,1020,3099," 09100 Metabolism","  09104 Nucleotide metabolism","   00230 Purine metabolism","    K00088  IMPDH, guaB; IMP dehydrogenase"
"55","K00090",55,0,0,0,0,0,0,2,23,6,20,38,2,18,4,23,51,717,335,305,112,4,229,98,38,98,74,0,126,103,142,28,83,108,63,66,67,78,87,13,35,165,49,21,29,105,16,103," 09100 Metabolism","  09101 Carbohydrate metabolism","   00030 Pentose phosphate pathway","    K00090  ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase"
"56","K00091",56,7,3,2,0,1,10,6,23,71,52,95,51,56,10,114,126,58,98,187,87,40,82,84,36,30,22,0,33,18,48,135,212,103,89,28,146,133,159,61,54,140,126,91,51,33,25,41," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00091  E1.1.1.219; dihydroflavonol-4-reductase"
"57","K00096",57,18,18,12,18,8,18,31,42,63,120,123,138,190,40,137,280,364,293,280,311,103,174,207,122,85,103,0,120,217,178,181,294,226,140,232,241,238,316,113,145,352,149,199,66,227,68,114," 09100 Metabolism","  09103 Lipid metabolism","   00564 Glycerophospholipid metabolism","    K00096  araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+]"
"58","K00097",58,0,2,0,2,0,0,1,16,24,32,38,18,24,17,50,52,45,91,85,91,23,71,42,42,21,32,0,101,46,51,71,27,35,36,78,71,60,56,25,22,62,57,2,17,50,9,53," 09100 Metabolism","  09108 Metabolism of cofactors and vitamins","   00750 Vitamin B6 metabolism","    K00097  pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase"
"59","K00098",59,12,2,0,12,4,5,2,20,2,42,25,86,27,25,9,40,42,80,51,83,20,80,79,58,78,144,0,152,171,214,66,57,59,60,25,20,70,41,39,33,97,52,18,46,20,15,110," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00098  idnD; L-idonate 5-dehydrogenase"
"60","K00099",60,93,65,57,68,41,104,89,275,377,701,658,574,624,269,747,1651,2403,2083,2204,2105,536,1504,1943,746,696,669,0,1137,1065,1476,1202,1500,1123,1230,1362,957,1654,1682,636,634,1590,1199,584,651,865,426,919," 09100 Metabolism","  09109 Metabolism of terpenoids and polyketides","   00900 Terpenoid backbone biosynthesis","    K00099  dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase"
"61","K00101",61,3,13,2,9,2,10,30,2,26,57,99,90,65,18,53,141,117,134,198,138,87,167,118,88,47,73,0,104,117,144,132,157,134,168,141,176,104,203,71,120,353,119,144,123,75,26,109," 09100 Metabolism","  09101 Carbohydrate metabolism","   00620 Pyruvate metabolism","    K00101  lldD; L-lactate dehydrogenase (cytochrome)"
"62","K00102",62,7,4,5,11,6,16,12,123,138,181,203,200,143,52,108,389,1632,595,577,540,182,442,367,168,182,152,0,389,308,220,210,367,346,394,344,333,514,307,180,269,475,371,184,273,286,117,274," 09100 Metabolism","  09101 Carbohydrate metabolism","   00620 Pyruvate metabolism","    K00102  LDHD, dld; D-lactate dehydrogenase (cytochrome)"
"63","K00104",63,86,58,88,101,78,152,137,304,293,600,682,525,611,257,724,1088,630,840,1098,1168,370,688,942,462,274,270,0,458,464,697,766,732,909,874,702,953,1353,1284,597,535,1371,867,703,560,758,343,371," 09100 Metabolism","  09101 Carbohydrate metabolism","   00630 Glyoxylate and dicarboxylate metabolism","    K00104  glcD; glycolate dehydrogenase FAD-linked subunit"
"64","K00108",64,5,7,10,10,15,19,16,83,94,331,182,345,249,86,170,804,652,1210,1086,1050,162,770,638,505,409,401,0,621,694,843,408,277,570,592,372,441,488,411,199,169,890,245,208,270,422,137,645," 09100 Metabolism","  09105 Amino acid metabolism","   00260 Glycine, serine and threonine metabolism","    K00108  betA, CHDH; choline dehydrogenase"
"65","K00109",65,0,0,0,0,0,1,2,0,6,28,14,0,18,1,30,12,41,6,38,29,8,23,0,4,0,8,0,13,9,22,27,17,4,12,30,11,0,13,7,10,19,33,13,8,1,0,11," 09100 Metabolism","  09101 Carbohydrate metabolism","   00650 Butanoate metabolism","    K00109  L2HGDH; 2-hydroxyglutarate dehydrogenase"
"66","K00111",66,173,113,113,159,130,250,180,628,732,1581,1262,824,1425,594,1652,2133,2790,2710,2779,2629,901,2099,2353,926,842,681,0,1080,1453,2394,1840,2560,2497,2250,1769,2151,3668,2867,1299,1596,3844,2050,1130,1226,2099,562,961," 09100 Metabolism","  09103 Lipid metabolism","   00564 Glycerophospholipid metabolism","    K00111  glpA, glpD; glycerol-3-phosphate dehydrogenase"
"67","K00112",67,2,0,7,0,0,2,0,26,26,38,39,3,49,22,55,39,1,40,11,21,15,18,12,7,4,4,0,0,15,9,29,35,20,36,50,84,114,67,34,17,73,51,17,33,29,18,3," 09100 Metabolism","  09103 Lipid metabolism","   00564 Glycerophospholipid metabolism","    K00112  glpB; glycerol-3-phosphate dehydrogenase subunit B"
"68","K00113",68,53,70,53,44,96,129,88,277,262,362,434,318,460,125,611,599,388,574,804,648,227,360,503,495,372,273,0,426,455,950,516,612,388,513,645,388,699,692,326,480,906,704,543,334,559,217,390," 09100 Metabolism","  09103 Lipid metabolism","   00564 Glycerophospholipid metabolism","    K00113  glpC; glycerol-3-phosphate dehydrogenase subunit C"
"69","K00114",69,75,66,51,96,99,134,77,1820,1493,2955,2980,2427,3610,1343,3078,1358,410,744,1333,1129,677,627,346,217,101,69,0,123,73,240,1466,1293,1690,1413,1933,2039,2142,1634,2564,1838,4127,2372,2156,1635,2200,819,135," 09100 Metabolism","  09101 Carbohydrate metabolism","   00010 Glycolysis / Gluconeogenesis","    K00114  exaA; alcohol dehydrogenase (cytochrome c)"
