Biomolecule,Shared,Shared2,KO,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00554,E. coli,poly N-acetyl-glucosamine,k11937,pgaD; biofilm PGA synthesis protein PgaD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00555,vibrio,vibriopolysaccharide,k00640,cysE; serine O-acetyltransferase [EC:2.3.1.30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00556,vibrio,vibriopolysaccharide,k20921,"vpsD, epsF; polysaccharide biosynthesis protein VpsD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00557,vibrio,vibriopolysaccharide,k20922,vpsI; polysaccharide biosynthesis protein VpsI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00558,vibrio,vibriopolysaccharide,k25886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00562,acetobacter and others,acetan/xanthan,k25887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00563,acetobacter and others,acetan/xanthan,k25888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00564,acetobacter and others,acetan/xanthan,k25889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00565,acetobacter and others,acetan/xanthan,k25890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00566,acetobacter and others,acetan/xanthan,k25891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00567,acetobacter and others,acetan/xanthan,k25892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00570,acetobacter and others,acetan/xanthan,k13663,gumF; acyltransferase [EC:2.3.1.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00571,acetobacter and others,acetan/xanthan,k13656,gumD; undecaprenyl-phosphate glucose phosphotransferase [EC:2.7.8.31],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00572,acetobacter and others,acetan/xanthan,k13660,"gumM; beta-1,4-glucosyltransferase [EC:2.4.1.-]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00573,acetobacter and others,acetan/xanthan,k13658,"gumI; beta-1,4-mannosyltransferase [EC:2.4.1.251]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00574,acetobacter and others,acetan/xanthan,k13664,gumG; acyltransferase [EC:2.3.1.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00575,acetobacter and others,acetan/xanthan,k13665,gumL; pyruvyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00576,rhizobium,succinoglycan,k16566,exoY; exopolysaccharide production protein ExoY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00577,rhizobium,succinoglycan,k16568,exoZ; exopolysaccharide production protein ExoZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00578,rhizobium,succinoglycan,k16556,exoM; succinoglycan biosynthesis protein ExoM [EC:2.4.-.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00579,rhizobium,succinoglycan,k16557,exoA; succinoglycan biosynthesis protein ExoA [EC:2.4.-.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00580,rhizobium,succinoglycan,k16558,exoL; succinoglycan biosynthesis protein ExoL [EC:2.-.-.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00581,rhizobium,succinoglycan,k16560,exoH; succinoglycan biosynthesis protein ExoH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00582,rhizobium,succinoglycan,k16562,exoW; succinoglycan biosynthesis protein ExoW [EC:2.4.-.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00583,rhizobium,succinoglycan,k16563,exoV; succinoglycan biosynthesis protein ExoV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00584,rhizobium,succinoglycan,k16564,exoU; succinoglycan biosynthesis protein ExoU [EC:2.4.-.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00585,rhizobium,succinoglycan,k16565,exoX; exopolysaccharide production repressor protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00586,rhizobium,EPS from R leguminosarum,k25902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00587,rhizobium,EPS from R leguminosarum,k25903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00588,rhizobium,EPS from R leguminosarum,k25904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00589,rhizobium,EPS from R leguminosarum,k25905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00590,rhizobium,EPS from R leguminosarum,k25906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00591,rhizobium,EPS from R leguminosarum,k25907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00592,rhizobium,EPS from R leguminosarum,k25908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00593,rhizobium,EPS from R leguminosarum,k25909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00594,rhizobium,EPS from R leguminosarum,k25910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00595,rhizobium,EPS from R leguminosarum,k25911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00596,rhizobium,EPS from R leguminosarum,k25912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00597,rhizobium,EPS from R leguminosarum,k25913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00598,erwinia,amylovoran/stewartan,k16701,amsD; amylovoran biosynthesis glycosyltransferase AmsD [EC:2.4.-.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00600,erwinia,amylovoran/stewartan,k16707,amsG; UDP-galactose-lipid carrier transferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00601,erwinia,amylovoran/stewartan,k16702,amsE; amylovoran biosynthesis glycosyltransferase AmsE [EC:2.4.-.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00602,erwinia,amylovoran/stewartan,k16700,amsB; amylovoran biosynthesis glycosyltransferase AmsB [EC:2.4.-.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00604,erwinia,amylovoran/stewartan,k25957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00605,erwinia,amylovoran/stewartan,k25958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00606,,cellulose,k00694,bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00607,,cellulose,k10999,CESA; cellulose synthase A [EC:2.4.1.12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00608,,cellulose,k20541,bcsB; cellulose synthase operon protein B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00609,,cellulose,k20543,bcsC; cellulose synthase operon protein C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
